ensembl_gene_id	external_gene_name	entrezgene_id
FBgn0015380	drl	44355
FBgn0015380	drl	44355
FBgn0015380	drl	44355
FBgn0010356	Taf5	47900
FBgn0010356	Taf5	47900
FBgn0010356	Taf5	47900
FBgn0250732	gfzf	40858
FBgn0250732	gfzf	40858
FBgn0250732	gfzf	40858
FBgn0034710	Alp7	37538
FBgn0034710	Alp7	37538
FBgn0034710	Alp7	37538
FBgn0033672	rho-7	36281
FBgn0033672	rho-7	36281
FBgn0033672	rho-7	36281
FBgn0261786	mi	37723
FBgn0261786	mi	37723
FBgn0261786	mi	37723
FBgn0034138	RpS15	36851
FBgn0034138	RpS15	36851
FBgn0034138	RpS15	36851
FBgn0036451	Helz	39613
FBgn0036451	Helz	39613
FBgn0036451	Helz	39613
FBgn0031250	Ent1	33207
FBgn0031250	Ent1	33207
FBgn0037409	Osi24	40755
FBgn0037409	Osi24	40755
FBgn0037409	Osi24	40755
FBgn0027948	msps	41952
FBgn0027948	msps	41952
FBgn0027948	msps	41952
FBgn0038675	CG6013	42286
FBgn0038675	CG6013	42286
FBgn0038675	CG6013	42286
FBgn0034315	CG5721	37084
FBgn0034315	CG5721	37084
FBgn0034315	CG5721	37084
FBgn0000500	Dsk	45845
FBgn0032878	CG9316	35333
FBgn0032878	CG9316	35333
FBgn0032878	CG9316	35333
FBgn0259184	CG42288	36559
FBgn0259184	CG42288	36559
FBgn0259184	CG42288	36559
FBgn0030319	CG2533	32110
FBgn0030319	CG2533	32110
FBgn0030319	CG2533	32110
FBgn0030319	CG2533	32110
FBgn0029878	Pat1	31593
FBgn0029878	Pat1	31593
FBgn0029878	Pat1	31593
FBgn0029878	Pat1	31593
FBgn0026324	Taf10b	33468
FBgn0026324	Taf10b	33468
FBgn0026324	Taf10b	33468
FBgn0031255	BBS8	33217
FBgn0031255	BBS8	33217
FBgn0000566	Eip55E	37143
FBgn0000566	Eip55E	37143
FBgn0000566	Eip55E	37143
FBgn0053878	His2B:CG33878	3771891
FBgn0053878	His2B:CG33878	3772271
FBgn0053878	His2B:CG33878	3772013
FBgn0053878	His2B:CG33878	3772276
FBgn0053878	His2B:CG33878	3772264
FBgn0053878	His2B:CG33878	3772083
FBgn0053878	His2B:CG33878	3772203
FBgn0053878	His2B:CG33878	3772265
FBgn0053878	His2B:CG33878	3772099
FBgn0053878	His2B:CG33878	3772299
FBgn0053878	His2B:CG33878	3772502
FBgn0053878	His2B:CG33878	3772058
FBgn0053878	His2B:CG33878	3772575
FBgn0053878	His2B:CG33878	3772166
FBgn0053878	His2B:CG33878	3772094
FBgn0053878	His2B:CG33878	3772248
FBgn0053878	His2B:CG33878	3772336
FBgn0053878	His2B:CG33878	3772104
FBgn0053878	His2B:CG33878	3772496
FBgn0053878	His2B:CG33878	3772081
FBgn0053878	His2B:CG33878	326273
FBgn0053878	His2B:CG33878	3771809
FBgn0053878	His2B:CG33878	3771957
FBgn0053878	His2B:CG33878	3771891
FBgn0053878	His2B:CG33878	3772271
FBgn0053878	His2B:CG33878	3772013
FBgn0053878	His2B:CG33878	3772276
FBgn0053878	His2B:CG33878	3772264
FBgn0053878	His2B:CG33878	3772083
FBgn0053878	His2B:CG33878	3772203
FBgn0053878	His2B:CG33878	3772265
FBgn0053878	His2B:CG33878	3772099
FBgn0053878	His2B:CG33878	3772299
FBgn0053878	His2B:CG33878	3772502
FBgn0053878	His2B:CG33878	3772058
FBgn0053878	His2B:CG33878	3772575
FBgn0053878	His2B:CG33878	3772166
FBgn0053878	His2B:CG33878	3772094
FBgn0053878	His2B:CG33878	3772248
FBgn0053878	His2B:CG33878	3772336
FBgn0053878	His2B:CG33878	3772104
FBgn0053878	His2B:CG33878	3772496
FBgn0053878	His2B:CG33878	3772081
FBgn0053878	His2B:CG33878	326273
FBgn0053878	His2B:CG33878	3771809
FBgn0053878	His2B:CG33878	3771957
FBgn0053878	His2B:CG33878	3771891
FBgn0053878	His2B:CG33878	3772271
FBgn0053878	His2B:CG33878	3772013
FBgn0053878	His2B:CG33878	3772276
FBgn0053878	His2B:CG33878	3772264
FBgn0053878	His2B:CG33878	3772083
FBgn0053878	His2B:CG33878	3772203
FBgn0053878	His2B:CG33878	3772265
FBgn0053878	His2B:CG33878	3772099
FBgn0053878	His2B:CG33878	3772299
FBgn0053878	His2B:CG33878	3772502
FBgn0053878	His2B:CG33878	3772058
FBgn0053878	His2B:CG33878	3772575
FBgn0053878	His2B:CG33878	3772166
FBgn0053878	His2B:CG33878	3772094
FBgn0053878	His2B:CG33878	3772248
FBgn0053878	His2B:CG33878	3772336
FBgn0053878	His2B:CG33878	3772104
FBgn0053878	His2B:CG33878	3772496
FBgn0053878	His2B:CG33878	3772081
FBgn0053878	His2B:CG33878	326273
FBgn0053878	His2B:CG33878	3771809
FBgn0053878	His2B:CG33878	3771957
FBgn0030665	CG15646	32501
FBgn0030665	CG15646	32501
FBgn0030665	CG15646	32501
FBgn0030665	CG15646	32501
FBgn0036597	CG4962	39793
FBgn0036597	CG4962	39793
FBgn0036597	CG4962	39793
FBgn0033019	CG10395	35490
FBgn0033019	CG10395	35490
FBgn0033019	CG10395	35490
FBgn0035687	Prdm13	38713
FBgn0035687	Prdm13	38713
FBgn0035687	Prdm13	38713
FBgn0260986	mei-38	31104
FBgn0260986	mei-38	31104
FBgn0260986	mei-38	31104
FBgn0035921	CG13305	38992
FBgn0035921	CG13305	38992
FBgn0035921	CG13305	38992
FBgn0262960	CG43271	12798001
FBgn0262960	CG43271	12798001
FBgn0262960	CG43271	12798001
FBgn0003448	sna	34908
FBgn0003448	sna	34908
FBgn0003448	sna	34908
FBgn0040747	CG12853	50220
FBgn0040747	CG12853	50220
FBgn0040747	CG12853	50220
FBgn0036211	CG5946	39336
FBgn0036211	CG5946	39336
FBgn0036211	CG5946	39336
FBgn0036090	CG8009	39204
FBgn0036090	CG8009	39204
FBgn0036090	CG8009	39204
FBgn0020307	dve	37546
FBgn0020307	dve	37546
FBgn0020307	dve	37546
FBgn0031268	cold	33237
FBgn0031268	cold	33237
FBgn0027495	Smyd4-4	36299
FBgn0027495	Smyd4-4	36299
FBgn0027495	Smyd4-4	36299
FBgn0003378	Sgs8	39285
FBgn0003378	Sgs8	39285
FBgn0003378	Sgs8	39285
FBgn0037610	CG8043	41030
FBgn0037610	CG8043	41030
FBgn0037610	CG8043	41030
FBgn0032294	Vha16-5	34482
FBgn0032294	Vha16-5	34482
FBgn0032294	Vha16-5	34482
FBgn0036882	CG9279	40124
FBgn0036882	CG9279	40124
FBgn0036882	CG9279	40124
FBgn0037120	CG11247	40414
FBgn0037120	CG11247	40414
FBgn0037120	CG11247	40414
FBgn0262111	f	32718
FBgn0262111	f	32718
FBgn0262111	f	32718
FBgn0262111	f	32718
FBgn0263855	BubR1	35522
FBgn0263855	BubR1	35522
FBgn0263855	BubR1	35522
FBgn0050088	CG30088	246447
FBgn0050088	CG30088	246447
FBgn0050088	CG30088	246447
FBgn0033247	Nup44A	35762
FBgn0033247	Nup44A	35762
FBgn0033247	Nup44A	35762
FBgn0053489	CG33489	2768971
FBgn0053489	CG33489	2768971
FBgn0053489	CG33489	2768971
FBgn0031127	CG1835	33057
FBgn0031127	CG1835	33057
FBgn0031127	CG1835	33057
FBgn0031127	CG1835	33057
FBgn0262896	CG43251	12798428
FBgn0262896	CG43251	12798428
FBgn0262896	CG43251	12798428
FBgn0053914	CG33914	3772464
FBgn0053914	CG33914	3772464
FBgn0053914	CG33914	3772464
FBgn0028858	CG10839	34944
FBgn0028858	CG10839	34944
FBgn0028858	CG10839	34944
FBgn0053095	CG33095	43012
FBgn0053095	CG33095	43012
FBgn0053095	CG33095	43012
FBgn0033490	CG12917	36065
FBgn0033490	CG12917	36065
FBgn0033490	CG12917	36065
FBgn0038070	CG6753	41557
FBgn0038070	CG6753	41557
FBgn0038070	CG6753	41557
FBgn0085294	CG34265	5740186
FBgn0085294	CG34265	5740186
FBgn0085294	CG34265	5740186
FBgn0031733	CG14006	33802
FBgn0031733	CG14006	33802
FBgn0031733	CG14006	33802
FBgn0030912	CG6023	32814
FBgn0030912	CG6023	32814
FBgn0030912	CG6023	32814
FBgn0030912	CG6023	32814
FBgn0032416	Gr33a	34641
FBgn0032416	Gr33a	34641
FBgn0032416	Gr33a	34641
FBgn0031139	CG11227	33071
FBgn0031139	CG11227	33071
FBgn0031139	CG11227	33071
FBgn0031139	CG11227	33071
FBgn0261859	CG42788	41817
FBgn0261859	CG42788	41817
FBgn0261859	CG42788	41817
FBgn0034081	CG10731	3772305
FBgn0034081	CG10731	3772305
FBgn0034081	CG10731	3772305
FBgn0037363	Atg17	40700
FBgn0037363	Atg17	40700
FBgn0037363	Atg17	40700
FBgn0053848	His3:CG33848	3772619
FBgn0053848	His3:CG33848	3772489
FBgn0053848	His3:CG33848	3772370
FBgn0053848	His3:CG33848	3772607
FBgn0053848	His3:CG33848	3772231
FBgn0053848	His3:CG33848	3771792
FBgn0053848	His3:CG33848	3772149
FBgn0053848	His3:CG33848	3772518
FBgn0053848	His3:CG33848	3772189
FBgn0053848	His3:CG33848	3772374
FBgn0053848	His3:CG33848	3772163
FBgn0053848	His3:CG33848	3772198
FBgn0053848	His3:CG33848	3771729
FBgn0053848	His3:CG33848	3771723
FBgn0053848	His3:CG33848	3772032
FBgn0053848	His3:CG33848	3772552
FBgn0053848	His3:CG33848	3772173
FBgn0053848	His3:CG33848	3771959
FBgn0053848	His3:CG33848	3771771
FBgn0053848	His3:CG33848	3772517
FBgn0053848	His3:CG33848	3772191
FBgn0053848	His3:CG33848	3772421
FBgn0053848	His3:CG33848	318847
FBgn0053848	His3:CG33848	3772619
FBgn0053848	His3:CG33848	3772489
FBgn0053848	His3:CG33848	3772370
FBgn0053848	His3:CG33848	3772607
FBgn0053848	His3:CG33848	3772231
FBgn0053848	His3:CG33848	3771792
FBgn0053848	His3:CG33848	3772149
FBgn0053848	His3:CG33848	3772518
FBgn0053848	His3:CG33848	3772189
FBgn0053848	His3:CG33848	3772374
FBgn0053848	His3:CG33848	3772163
FBgn0053848	His3:CG33848	3772198
FBgn0053848	His3:CG33848	3771729
FBgn0053848	His3:CG33848	3771723
FBgn0053848	His3:CG33848	3772032
FBgn0053848	His3:CG33848	3772552
FBgn0053848	His3:CG33848	3772173
FBgn0053848	His3:CG33848	3771959
FBgn0053848	His3:CG33848	3771771
FBgn0053848	His3:CG33848	3772517
FBgn0053848	His3:CG33848	3772191
FBgn0053848	His3:CG33848	3772421
FBgn0053848	His3:CG33848	318847
FBgn0053848	His3:CG33848	3772619
FBgn0053848	His3:CG33848	3772489
FBgn0053848	His3:CG33848	3772370
FBgn0053848	His3:CG33848	3772607
FBgn0053848	His3:CG33848	3772231
FBgn0053848	His3:CG33848	3771792
