ensembl_gene_id	external_gene_name	entrezgene_id
ENSDARG00000063344	fam162a	336363
ENSDARG00000097685	si:ch211-235i11.3	101885363
ENSDARG00000036008	caly	100307104
ENSDARG00000069301	tmem177	556875
ENSDARG00000104901	ostc	393239
ENSDARG00000031836	vps37c	777738
ENSDARG00000103391	rab9b	100003363
ENSDARG00000030463	tppp3	393825
ENSDARG00000070447	slc39a9	541413
ENSDARG00000080018	kif16bb	567045
ENSDARG00000036109	mtx1b	286740
ENSDARG00000029612	gpkow	368735
ENSDARG00000075759	samd4a	100149858
ENSDARG00000057635	wdr34	794361
ENSDARG00000032737	gria3a	170452
ENSDARG00000053517	EML5	570011
ENSDARG00000111826	zgc:174354	555814
ENSDARG00000015793	creb3l1	338317
ENSDARG00000044573	cdc42	336839
ENSDARG00000025206	syt2a	567877
ENSDARG00000042189	tspan33b	567512
ENSDARG00000076270	adamts13	100320289
ENSDARG00000045415	gnal	492467
ENSDARG00000087916	tmem240a	568378
ENSDARG00000023058	foxo3a	494532
ENSDARG00000100738	osmr	100144562
ENSDARG00000067711	parvg	100037387
ENSDARG00000091834	si:ch211-198m17.1	100332647
ENSDARG00000068468	dnah3	100334351
ENSDARG00000101806	or104-1	795582
ENSDARG00000078805	ap5b1	100148772
ENSDARG00000058893	nhej1	406593
ENSDARG00000088881	si:dkeyp-69b9.3	573741
ENSDARG00000062376	nlgn3b	567415
ENSDARG00000039490	pitpnaa	393909
ENSDARG00000020986	ctu1	393098
ENSDARG00000098626	nitr12	557932
ENSDARG00000089187	wfdc2	556600
ENSDARG00000003175	stx5al	323105
ENSDARG00000074846	si:dkeyp-68b7.12	100151151
ENSDARG00000026759	ldlrb	393460
ENSDARG00000033099	kif7	544651
ENSDARG00000024184	narf	436614
ENSDARG00000009341	nrap	724004
ENSDARG00000100546	or108-2	100150395
ENSDARG00000090804	gpr155a	100535239
ENSDARG00000016977	snx27b	393512
ENSDARG00000058538	alcamb	323919
ENSDARG00000102175	hamp	402837
ENSDARG00000018153	nt5c1ba	798022
ENSDARG00000054533	araf	403063
ENSDARG00000038154	isca2	100150438
ENSDARG00000036420	si:dkey-33c9.6	795086
ENSDARG00000098726	rptor	560455
ENSDARG00000037652	C1H7orf26	393295
ENSDARG00000027963	camkva	567243
ENSDARG00000097726	si:ch211-149e23.4	797154
ENSDARG00000011821	plod2	100036767
ENSDARG00000035875	tmem54b	557625
ENSDARG00000057074	rpgrb	557752
ENSDARG00000075181	crfb16	100174902
ENSDARG00000077950	tor1	565062
ENSDARG00000079355	flrt2	571972
ENSDARG00000044251	rasgef1bb	445085
ENSDARG00000003144	pxmp2	447868
ENSDARG00000016968	tmem214	402840
ENSDARG00000090063	fa2h	792257
ENSDARG00000033789	ndufb7	393821
ENSDARG00000017522	ctdp1	442930
ENSDARG00000077860	ankhd1	563327
ENSDARG00000052097	trim35-31	560122
ENSDARG00000045015	cyp27b1	793309
ENSDARG00000101490	si:ch73-281i18.6	100330842
ENSDARG00000008100	slc7a10a	567420
ENSDARG00000041340	mrpl51	797002
ENSDARG00000087757	pimr190	100000675
ENSDARG00000045873	frs2a	559479
ENSDARG00000088072	usp43b	100149276
ENSDARG00000070874	asmt2	568256
ENSDARG00000045641	usp3	569679
ENSDARG00000103025	hmgcs1	394060
ENSDARG00000061439	ugt5c3	563413
ENSDARG00000052520	sgms2a	556193
ENSDARG00000018542	hapln4	559818
ENSDARG00000074253	olig3	566728
ENSDARG00000078768	abhd15a	560644
ENSDARG00000100858	zgc:171695	100008304
ENSDARG00000062357	tafa1a	100536837
ENSDARG00000019135	ankef1a	566413
ENSDARG00000068711	crfb4	797527
ENSDARG00000043002	vmo1a	793369
ENSDARG00000090854	lsm11	100004030
ENSDARG00000056683	cdk5	65234
ENSDARG00000012446	zgc:113057	552926
ENSDARG00000078567	lonrf1l	100317496
ENSDARG00000021444	prf1.2	103909237
ENSDARG00000029263	hoxb3a	30339
ENSDARG00000030472	slc16a5a	565514
ENSDARG00000042515	gpr176	561969
ENSDARG00000042018	fhl2a	445277
ENSDARG00000036943	golph3l	569617
ENSDARG00000015476	iqch	567336
ENSDARG00000089954	si:ch211-189e2.3	100536102
ENSDARG00000002355	shpk	100001676
ENSDARG00000069537	si:dkey-238c7.16	559078
ENSDARG00000044457	gfi1ab	798697
ENSDARG00000087798	pdyn	414850
ENSDARG00000101106	si:ch73-109d9.3	101883524
ENSDARG00000093521	b3gnt3.3	561028
ENSDARG00000045443	agtr1b	100333455
ENSDARG00000058958	trim35-7	103908634
ENSDARG00000019293	tfdp1a	406813
ENSDARG00000078167	si:dkeyp-100h4.1	103910657
ENSDARG00000115890	si:dkey-1b17.9	100329489
ENSDARG00000101085	ss18l2	550446
ENSDARG00000007250	use1	393294
ENSDARG00000011449	fes	566739
ENSDARG00000099200	zgc:123103	641325
ENSDARG00000040250	si:ch211-132g1.1	101884448
ENSDARG00000044753	idh3b	415247
ENSDARG00000006560	irf4a	100002070
ENSDARG00000074302	gpr183b	100150688
ENSDARG00000061371	cdh18a	767768
ENSDARG00000063574	mtg2	100001905
ENSDARG00000086471	pkig	503808
ENSDARG00000002377	mief2	767710
ENSDARG00000052129	boka	445218
ENSDARG00000098029	si:ch211-129o18.4	101883649
ENSDARG00000059773	SRCIN1	565863
ENSDARG00000095453	si:rp71-17i16.6	100148415
ENSDARG00000056740	tmeff1b	553511
ENSDARG00000033446	tap2t	556826
ENSDARG00000077253	alkbh6	317736
ENSDARG00000100694	tnnt2b	100331199
ENSDARG00000093799	setbp1	796785
ENSDARG00000052851	golph3	450085
ENSDARG00000009844	dusp23a	323834
ENSDARG00000018871	henmt1	550540
ENSDARG00000102608	zgc:109986	553566
ENSDARG00000003818	prkag1	406440
ENSDARG00000019156	haus5	492797
ENSDARG00000038615	pip4p1a	556136
ENSDARG00000092774	tars3	100330276
ENSDARG00000087457	ecscr	550161
ENSDARG00000034734	med6	415174
ENSDARG00000079283	si:ch211-247j9.1	570019
ENSDARG00000021913	ak9	557708
ENSDARG00000105120	gab2	564517
ENSDARG00000102929	C7H19orf12	447894
ENSDARG00000073688	nav2a	100333160
ENSDARG00000090814	si:dkey-18a10.3	792628
ENSDARG00000027141	ube2l3b	321943
ENSDARG00000102434	si:dkey-13m1.2	101883301
ENSDARG00000052142	acvr1bb	559222
ENSDARG00000069758	si:dkey-189g17.2	567482
ENSDARG00000039218	gpr101	101886313
ENSDARG00000010717	chchd10	393757
ENSDARG00000020449	yipf3	334511
ENSDARG00000038792	klf17	65238
ENSDARG00000017163	sinup	393399
ENSDARG00000101456	acp5b	436725
ENSDARG00000076801	arap3	558931
ENSDARG00000003206	chchd6a	449542
ENSDARG00000078686	arl8a	567222
ENSDARG00000017835	brf1a	334402
ENSDARG00000044318	itgb7	797491
ENSDARG00000076025	dgkzb	100148835
ENSDARG00000009253	rtraf	393240
ENSDARG00000062549	acmsd	557166
ENSDARG00000037262	cdkn2a/b	100329528
ENSDARG00000075855	adgre10	569655
ENSDARG00000037555	atoh8	561606
ENSDARG00000038976	pdcd7	445020
ENSDARG00000038976	pdcd7	100334622
ENSDARG00000039349	qrfpra	100149491
ENSDARG00000036588	mhc1zba	791453
ENSDARG00000098257	pcdh15a	368476
ENSDARG00000059351	hnrnpa3	751729
ENSDARG00000078717	itga8	100141346
ENSDARG00000024219	cdk5rap2	334460
ENSDARG00000102612	slc15a4	393932
ENSDARG00000075818	dok2	100001537
ENSDARG00000063006	cacng7a	100034540
ENSDARG00000055560	p2ry8	566497
ENSDARG00000024771	slc24a5	570312
ENSDARG00000052846	fsta	100004116
ENSDARG00000092855	SRBD1	100320270
ENSDARG00000014024	ms4a17a.4	100124612
ENSDARG00000100531	abhd14b	393338
ENSDARG00000101319	si:ch73-299h12.6	100150691
ENSDARG00000055445	slc22a15	555262
ENSDARG00000089750	si:dkey-26g8.5	563390
ENSDARG00000091169	tor4ab	100126135
ENSDARG00000052010	ciao2b	436722
ENSDARG00000098075	sh3bgrl3	393248
ENSDARG00000069595	si:ch211-214c7.4	560699
ENSDARG00000093621	si:dkey-27b3.4	103911726
ENSDARG00000045070	itgb3b	100001836
ENSDARG00000055901	steap4	550429
ENSDARG00000093608	ccl34b.1	563952
ENSDARG00000023111	plg	322691
ENSDARG00000020197	rpl5a	326961
ENSDARG00000040930	deptor	768177
ENSDARG00000099685	gnb5a	562813
ENSDARG00000051729	nfatc3b	566869
ENSDARG00000077778	adamts9	100333407
ENSDARG00000057227	si:dkey-222b8.4	568013
ENSDARG00000043431	b3gntl1	619261
ENSDARG00000029905	phyhd1	492804
ENSDARG00000077082	agtrap	793937
ENSDARG00000077581	zzz3	567022
ENSDARG00000018593	parp16	405842
ENSDARG00000079455	nlgn4xa	561122
ENSDARG00000071648	zgc:113298	553751
ENSDARG00000097063	sparcl2	100534809
ENSDARG00000094616	zgc:113984	564755
ENSDARG00000002509	zgc:153911	768172
ENSDARG00000027826	pudp	553642
ENSDARG00000010408	igsf9b	553348
ENSDARG00000054031	mxd4	559531
ENSDARG00000062987	tyw1	562076
ENSDARG00000004296	ambp	394093
ENSDARG00000039880	arpp19b	393947
ENSDARG00000035860	rps28	406307
ENSDARG00000041078	chka	558499
ENSDARG00000023298	rps27.1	554155
ENSDARG00000104332	cdh28	108179109
ENSDARG00000075112	tacr3a	555482
ENSDARG00000002219	si:dkey-103j14.5	570552
ENSDARG00000098889	si:zfos-128g4.2	110439798
ENSDARG00000079391	mrpl42	568235
ENSDARG00000074306	ctslb	564979
ENSDARG00000096588	adgre15	100536619
ENSDARG00000040021	ebag9	394069
ENSDARG00000036893	f13a1b	561287
ENSDARG00000013266	colec11	492459
ENSDARG00000071377	hsd11b1la	393293
ENSDARG00000071377	hsd11b1la	100006793
ENSDARG00000025671	grm6b	565450
ENSDARG00000035018	thy1	336617
ENSDARG00000039173	ctslb	30443
ENSDARG00000037196	arid5b	100536827
ENSDARG00000032264	mybl2b	445390
ENSDARG00000025325	ccsapa	101883094
ENSDARG00000054184	btr06	100151764
ENSDARG00000056331	ahcyl1	798918
ENSDARG00000102080	mif4gda	393355
ENSDARG00000069888	cldna	81580
ENSDARG00000038363	drd4a	503564
ENSDARG00000010472	atp1a2a	64609
ENSDARG00000040643	ccr10	436948
ENSDARG00000075673	arhgap21b	326745
ENSDARG00000017422	apmap	266637
ENSDARG00000097032	si:ch211-256a21.4	100535085
ENSDARG00000063390	pvrl2l	560933
ENSDARG00000026403	hephl1b	101886332
ENSDARG00000062108	iffo1b	563794
ENSDARG00000042726	grb7	563649
ENSDARG00000075030	stx10	100151249
ENSDARG00000103155	ext1a	497279
ENSDARG00000019235	sema3aa	30266
ENSDARG00000075952	mbd2	337105
ENSDARG00000055472	nubp1	503919
ENSDARG00000088293	doc2b	100006713
ENSDARG00000101050	tmc8	100004462
ENSDARG00000030867	opn7c	562695
ENSDARG00000053383	rprma	553689
ENSDARG00000056921	ankk1	100170831
ENSDARG00000042057	trmt1l	559583
ENSDARG00000100906	hist1h2a11	100004510
ENSDARG00000088764	lyplal1	503751
ENSDARG00000088764	lyplal1	797125
ENSDARG00000033754	rbm48	402897
ENSDARG00000002184	igbp1	406843
ENSDARG00000093450	si:dkey-78l4.10	108181086
ENSDARG00000015681	gsk3ab	30664
ENSDARG00000079665	gpr158b	568637
ENSDARG00000021702	pdcd4a	406261
ENSDARG00000070846	dazap1	561459
ENSDARG00000070507	trpc4a	102725537
ENSDARG00000009754	zc3h11a	324551
ENSDARG00000077124	si:ch211-255p10.4	564701
ENSDARG00000067828	olfce1	793176
ENSDARG00000004184	nf1b	564518
ENSDARG00000063155	dcaf12	570671
ENSDARG00000033444	map4k6	692287
ENSDARG00000079453	atp8b4	559291
ENSDARG00000042825	rnf169	795748
ENSDARG00000060036	aimp1a	562232
ENSDARG00000020926	creb3l3l	406853
ENSDARG00000104656	si:dkeyp-97a10.3	100334925
ENSDARG00000019098	cd82a	324098
ENSDARG00000016897	fbxo15	560664
ENSDARG00000037962	psmb7	64278
ENSDARG00000003533	col8a1b	562442
ENSDARG00000015566	dnmt3ab	553189
ENSDARG00000115281	hist1h4l	794549
ENSDARG00000115281	hist1h4l	100126027
ENSDARG00000115281	hist1h4l	100150038
ENSDARG00000115281	hist1h4l	100331412
ENSDARG00000114405	zgc:194989	570661
ENSDARG00000020788	sla2	568515
ENSDARG00000098428	asic1c	407670
ENSDARG00000069245	matn3a	445503
ENSDARG00000004597	lrrc4ba	556747
ENSDARG00000009350	atg3	336632
ENSDARG00000010956	sh3glb1b	334911
ENSDARG00000099535	si:ch73-379j16.2	108179154
ENSDARG00000100139	si:ch211-113d22.2	565641
ENSDARG00000076966	pagr1	326076
ENSDARG00000042252	eif4h	402996
ENSDARG00000042151	skia	30101
ENSDARG00000018898	zfand5a	406312
ENSDARG00000004274	zgc:112496	541336
ENSDARG00000018008	mdh1b	767794
ENSDARG00000103802	si:ch73-389b16.2	550304
ENSDARG00000052164	znf507	393453
ENSDARG00000071548	josd1	767655
ENSDARG00000046141	zgc:162025	571775
ENSDARG00000036080	cd81a	58031
ENSDARG00000041802	rnf141	414846
ENSDARG00000071679	mydgf	436753
ENSDARG00000079438	pkp3b	100330353
ENSDARG00000086457	tnfaip8l1	393303
ENSDARG00000032552	march5	561952
ENSDARG00000101910	pcdh20	568796
ENSDARG00000058815	ihhb	30299
ENSDARG00000013076	bmi1b	394249
ENSDARG00000044626	ccdc90b	100149897
ENSDARG00000015862	rpl5b	415196
ENSDARG00000014790	g3bp2	556409
ENSDARG00000071396	timm23a	798429
ENSDARG00000061791	nyx	568821
ENSDARG00000068993	zgc:153631	751714
ENSDARG00000075072	rpap1	570666
ENSDARG00000056531	nutf2	449827
ENSDARG00000011240	ift46	565922
ENSDARG00000061185	nat15	570640
ENSDARG00000059423	prune2	556822
ENSDARG00000036787	tap2a	368771
ENSDARG00000045857	cebpz	550440
ENSDARG00000077299	yars2	556702
ENSDARG00000033134	ndufaf7	767796
ENSDARG00000004433	btk	568653
ENSDARG00000002994	itpkca	562919
ENSDARG00000022177	ddx59	562123
ENSDARG00000036382	ponzr6	557791
ENSDARG00000030311	tmc2b	567304
ENSDARG00000003420	chrna5	550584
ENSDARG00000060124	timm17b	562144
ENSDARG00000045874	yeats4	437025
ENSDARG00000075666	tsc22d3	393541
ENSDARG00000044895	fmoda	791822
ENSDARG00000041546	gypc	335987
ENSDARG00000045691	zcrb1	550251
ENSDARG00000098652	pcdh11	100333121
ENSDARG00000017675	utp4	406571
ENSDARG00000089513	si:ch211-198e20.10	566030
ENSDARG00000089513	si:ch211-198e20.10	569452
ENSDARG00000089513	si:ch211-198e20.10	100000880
ENSDARG00000096118	ost4	100534615
ENSDARG00000087814	mfrp	101885305
ENSDARG00000101715	arsg	564790
ENSDARG00000022918	tbcc	553378
ENSDARG00000068602	dalrd3	571036
ENSDARG00000002912	adipor1a	436740
ENSDARG00000103395	si:ch73-281i18.7	100535123
ENSDARG00000079377	arhgef38	100317614
ENSDARG00000016345	ncoa5	447849
ENSDARG00000091317	hunk	564235
ENSDARG00000096726	hspa12a.2	559237
ENSDARG00000070847	trim35-20	445068
ENSDARG00000070847	trim35-20	563088
ENSDARG00000004034	arhgdig	394132
ENSDARG00000000474	tnni1a	558408
ENSDARG00000054597	cnot6l	553665
ENSDARG00000058695	ddr2b	559428
ENSDARG00000012467	spint1b	797346
ENSDARG00000073950	cd4-2.2	100334281
ENSDARG00000067566	sftpbb	100001978
ENSDARG00000058696	tbl1xr1a	553608
ENSDARG00000007383	kcnk6	504083
ENSDARG00000063036	psd2	557199
ENSDARG00000093079	proca	393327
ENSDARG00000019004	smarcd1	323115
ENSDARG00000073704	si:dkeyp-72g9.4	793842
ENSDARG00000057887	nts	101884890
ENSDARG00000045378	pi15a	561978
ENSDARG00000043757	ptbp3	798982
ENSDARG00000017537	prkag3a	553319
ENSDARG00000094146	pimr134	559546
ENSDARG00000012942	itgb5	563556
ENSDARG00000068934	cyp1b1	100150054
ENSDARG00000104129	si:dkey-23n7.10	100333689
ENSDARG00000074156	sgca	557170
ENSDARG00000052019	si:ch73-109d9.1	799721
ENSDARG00000058587	terb1	559140
ENSDARG00000017860	rgs5b	550519
ENSDARG00000075996	znfl1b	795031
ENSDARG00000067507	kctd8	568933
ENSDARG00000070644	ttpal	321577
ENSDARG00000037935	aldh16a1	492710
ENSDARG00000043664	BDKRB2	100004938
ENSDARG00000101047	rtcb	406376
ENSDARG00000005754	ptprfb	799867
ENSDARG00000101217	fam78aa	559300
ENSDARG00000062142	stoml1	563294
ENSDARG00000052361	il15	654826
ENSDARG00000004580	nmnat2	336257
ENSDARG00000038066	kpna2	436607
ENSDARG00000001933	prkag2b	568316
ENSDARG00000055713	fmnl1a	557062
ENSDARG00000040352	crot	553204
ENSDARG00000040705	glsb	564746
ENSDARG00000095863	afp4	568707
ENSDARG00000040985	itgbl1	554050
ENSDARG00000020610	tnnt2a	58071
ENSDARG00000093781	lrriq1	565257
ENSDARG00000035471	si:dkey-220k22.1	795920
ENSDARG00000116254	pimr104	100149233
ENSDARG00000074166	birc6	796547
ENSDARG00000091633	si:dkey-177p2.18	101886068
ENSDARG00000096359	eppk1	101885652
ENSDARG00000002333	fam102bb	557909
ENSDARG00000070626	cacng8b	100003329
ENSDARG00000071143	si:dkey-208m12.2	100538282
ENSDARG00000052701	smpd2b	797914
ENSDARG00000058127	hcfc2	550401
ENSDARG00000100823	selenok	791738
ENSDARG00000055855	kcnc3a	559096
ENSDARG00000043697	nefmb	100033387
ENSDARG00000054331	ccn4a	560713
ENSDARG00000038793	ccdc24	541495
ENSDARG00000063677	ccny	557738
ENSDARG00000076748	ntn2	641469
ENSDARG00000001559	csmd2	565460
ENSDARG00000044059	lft2	30146
ENSDARG00000008200	ugp2b	334420
ENSDARG00000024189	pnocb	394236
ENSDARG00000103498	epd	30199
ENSDARG00000059459	C5H2orf68	100001127
ENSDARG00000042000	si:ch211-63o20.7	566836
ENSDARG00000010601	mtmr10	555239
ENSDARG00000078474	myo15ab	570113
ENSDARG00000057863	dnmt3bb.3	323723
ENSDARG00000013110	dmtn	565367
ENSDARG00000098228	thrap3b	407984
ENSDARG00000038967	cul3a	324655
ENSDARG00000009372	diras1b	565395
ENSDARG00000021811	calm1a	406660
ENSDARG00000036064	cnep1r1	550572
ENSDARG00000077040	RIN2	565615
ENSDARG00000098934	rrp7a	550241
ENSDARG00000005772	tsr2	317639
ENSDARG00000103226	dhcr7	378446
ENSDARG00000021590	magi2a	564112
ENSDARG00000101190	cyp2k8	561462
ENSDARG00000033950	lamb2l	553337
ENSDARG00000005271	zc3h12a	798235
ENSDARG00000094370	si:ch211-125e6.13	566620
ENSDARG00000021369	mc3r	353153
ENSDARG00000009748	dffb	373130
ENSDARG00000096546	nrp2a	405901
ENSDARG00000044264	pimr71	100537940
ENSDARG00000002194	rhd	554272
ENSDARG00000101222	oscp1a	100536270
ENSDARG00000101222	oscp1a	101884591
ENSDARG00000069199	zgc:172120	799440
ENSDARG00000057869	cdc42l2	556226
ENSDARG00000103024	zgc:175136	100136863
ENSDARG00000016811	ints3	560575
ENSDARG00000006370	atp6v1h	286779
ENSDARG00000089885	slc16a12b	449947
ENSDARG00000068221	zmp:0000000729	100007982
ENSDARG00000075853	sh3kbp1	793623
ENSDARG00000093546	si:ch73-56d11.5	100537622
ENSDARG00000075560	kmt2cb	568162
ENSDARG00000092463	rhbdd2	100004922
ENSDARG00000035741	slc25a11	415189
ENSDARG00000076530	jac6	795922
ENSDARG00000070787	jupa	30415
ENSDARG00000007024	uox	436604
ENSDARG00000094709	arl8	327551
ENSDARG00000069765	syngap1b	100151149
ENSDARG00000058503	flt3	566708
ENSDARG00000062521	atp9b	568160
ENSDARG00000020656	prkg1a	394005
ENSDARG00000074815	mxra5a	100151112
ENSDARG00000067824	cntnap3	564195
ENSDARG00000068894	nrip1b	100001853
ENSDARG00000090106	slc17a7b	100331980
ENSDARG00000088639	cdca9	100151622
ENSDARG00000069515	bbs10	100034535
ENSDARG00000022718	casp8ap2	541521
ENSDARG00000033144	psme2	30647
ENSDARG00000070513	brpf3a	100149254
ENSDARG00000021021	trim35-28	559351
ENSDARG00000062995	si:dkey-14o18.2	566575
ENSDARG00000014053	olfm1b	445092
ENSDARG00000077560	grin2cb	100333648
ENSDARG00000086699	smim15	556945
ENSDARG00000099448	sh3d21	641492
ENSDARG00000043554	mrpl40	447873
ENSDARG00000103494	usp43a	563983
ENSDARG00000061191	plekho1a	563283
ENSDARG00000025693	tmem9b	325931
ENSDARG00000068261	pros1	768180
ENSDARG00000017294	gnai2b	327650
ENSDARG00000012353	vipr2	81886
ENSDARG00000007825	map2k1	406728
ENSDARG00000012586	fmnl2a	100006456
ENSDARG00000043643	ehbp1	560857
ENSDARG00000034309	cox10	553384
ENSDARG00000002285	mcoln1a	406689
ENSDARG00000015921	pwp1	393262
ENSDARG00000091624	ugt2a7	792506
ENSDARG00000102363	si:ch73-138e16.4	108179101
ENSDARG00000062951	meak7	561678
ENSDARG00000007804	gas6	335830
ENSDARG00000016439	slc7a1a	559627
ENSDARG00000103659	bco1l	393580
ENSDARG00000060991	mief1	564985
ENSDARG00000014348	stk17b	393507
ENSDARG00000045913	mrps10	565937
ENSDARG00000058005	hgd	259189
ENSDARG00000026753	grik4	556582
ENSDARG00000012776	smarca1	559803
ENSDARG00000061603	sorbs2b	563408
ENSDARG00000038321	zgc:172053	100002541
ENSDARG00000043635	cmc2	368857
ENSDARG00000016598	ckmt1	321892
ENSDARG00000011605	dennd6b	337436
ENSDARG00000075441	vwa2	567428
ENSDARG00000017658	gmppb	445097
ENSDARG00000045541	gcc1	445205
ENSDARG00000078245	gal3st1b	793584
ENSDARG00000101206	zgc:113363	791449
ENSDARG00000079805	tagln3a	563096
ENSDARG00000093877	si:zfos-2330d3.7	100538028
ENSDARG00000006283	waslb	394034
ENSDARG00000076981	zgc:198329	557409
ENSDARG00000107511	lyn	100537552
ENSDARG00000012297	cnga3b	100334711
ENSDARG00000043010	camk2d1	445208
ENSDARG00000055416	serpinb1	436926
ENSDARG00000007149	l1cama	30634
ENSDARG00000095825	ftr92	101886570
ENSDARG00000003749	polb	554204
ENSDARG00000101675	zgc:123107	641415
ENSDARG00000089681	btf3l4	393667
ENSDARG00000078578	fam222bb	793183
ENSDARG00000078807	paxx	492631
ENSDARG00000041602	zgc:92335	436726
ENSDARG00000103971	si:ch73-173p19.2	100332691
ENSDARG00000102264	trim35-22	561381
ENSDARG00000058011	arxa	30657
ENSDARG00000103979	calr3a	30248
ENSDARG00000007842	MCHR2	100150764
ENSDARG00000027391	ccnd3	449996
ENSDARG00000089217	ubap1la	100004590
ENSDARG00000045025	ift52	414931
ENSDARG00000103663	NINJ1	100150223
