ensembl_gene_id	external_gene_name	entrezgene_id
YBR024W	SCO2	852312
YDL245C	HXT15	851352
YBR021W	FUR4	852309
YGR014W	MSB2	852897
YKL119C	VPH2	853741
YPR031W	NTO1	856143
YJL076W	NET1	853369
YPL174C	NIP100	855929
YIL003W	CFD1	854814
YML066C	SMA2	854936
YMR129W	POM152	855159
YBR140C	IRA1	852437
YKL029C	MAE1	853839
YLR154C-G		1466409
YPL028W	ERG10	856079
YDL235C	YPD1	851363
YER091C	MET6	856825
YMR121C	RPL15B	855150
YDR356W	SPC110	851957
YDR337W	MRPS28	851937
YKL008C	LAC1	853861
YER055C	HIS1	856782
YFR004W	RPN11	850554
YDR108W	TRS85	851686
YDL200C	MGT1	851327
YJR134C	SGM1	853598
YMR135C	GID8	855166
YGR012W	MCY1	852895
YNL244C	SUI1	855477
YCR024C-A	PMP1	850389
YOR027W	STI1	854192
YBL101C	ECM21	852173
YLL040C	VPS13	850619
YDR181C	SAS4	851762
YPR096C		856211
YJL210W	PEX2	853219
YLR216C	CPR6	850914
YMR021C	MAC1	855035
YNL079C	TPM1	855645
YBL058W	SHP1	852222
YJR127C	RSF2	853592
YLR088W	GAA1	850777
YKL128C	PMU1	853730
YLR100W	ERG27	850790
YKL106C-A		853754
YBR080C	SEC18	852372
YOR292C		854467
YNL219C	ALG9	855502
YPR179C	HDA3	856309
YOL062C	APM4	854092
YDR540C	IRC4	852153
YER087W	AIM10	856820
YOL140W	ARG8	854025
YFL009W	CDC4	850539
YLL004W	ORC3	850656
YKL057C	NUP120	853808
YPL130W	SPO19	855973
YDL046W	NPC2	851514
YPL072W	UBP16	856032
YER180C	ISC10	856927
YGL157W	ARI1	852720
YDR252W	BTT1	851839
YLR037C	PAU23	850726
YMR307W	GAS1	855355
YIL116W	HIS5	854690
YAL040C	CLN3	851191
YGL232W	TAN1	852619
YHR181W	SVP26	856587
YPL259C	APM1	855869
YDR461C-A		3799972
YJL087C	TRL1	853358
YIR005W	IST3	854821
YDL080C	THI3	851479
YJL209W	CBP1	853221
YLR286C	CTS1	850992
YEL044W	IES6	856667
YOR371C	GPB1	854553
YLR071C	RGR1	850760
YBL050W	SEC17	852230
YOR025W	HST3	854190
YHL001W	RPL14B	856388
YJR042W	NUP85	853499
YNL185C	MRPL19	855536
YBR129C	OPY1	852426
YKL145W	RPT1	853712
YIL015W	BAR1	854797
YPL018W	CTF19	856089
YLR160C	ASP3-4	850857
YLR160C	ASP3-4	850855
YLR160C	ASP3-4	850852
YLR160C	ASP3-4	850850
YIL047C	SYG1	854764
YOR061W	CKA2	854227
YJR005C-A	LSO1	1466469
YLR352W		851066
YDR068W	DOS2	851640
YJL128C	PBS2	853313
YPL228W	CET1	855873
YML036W	CGI121	854972
YKL114C	APN1	853746
YDR078C	SHU2	851650
YCR105W	ADH7	850469
YJR083C	ACF4	853545
YDR248C		851835
YPL199C		855902
YNL136W	EAF7	855586
YLL045C	RPL8B	850682
YOR316C-A		1466487
YNL264C	PDR17	855457
YLR320W	MMS22	851030
YBR028C	YPK3	852316
YKL098W	MTC2	853763
YBR063C		852356
YJL052C-A		853394
YPR060C	ARO7	856173
YLL013C	PUF3	850647
YKR067W	GPT2	853941
YLR040C	AFB1	850730
YMR093W	UTP15	855118
YHR136C	SPL2	856538
YBR078W	ECM33	852370
YCL054W	SPB1	850304
YIL072W	HOP1	854738
YCR016W		850375
YEL020C	PXP1	856694
YDL136W	RPL35B	851336
YDL136W	RPL35B	851419
YBR211C	AME1	852512
YJL077W-A		13393612
YOR076C	SKI7	854243
YDR104C	SPO71	851681
YBR279W	PAF1	852582
YLR067C	PET309	850756
YHR219W		856629
YGR249W	MGA1	853164
YLR456W		851178
YGR283C		853200
YDL027C	MRX9	851535
YKR023W		853893
YGR028W	MSP1	852915
YCL001W-A		850355
YDR052C	DBF4	851623
YFR035C		850595
YJL102W	MEF2	853342
YNL336W	COS1	855380
YGL006W	PMC1	852878
YDR217C	RAD9	851803
YKL033W	TTI1	853834
YOR223W	DSC3	854398
YOR032W-A		1466481
YBR260C	RGD1	852563
YLR359W	ADE13	851073
YHR062C	RPP1	856459
YDR022C		851585
YDR459C	PFA5	852070
YNL184C		855537
YDR293C	SSD1	851887
YPL195W	APL5	855906
YMR173W	DDR48	855210
YDR374W-A	WIP1	3799971
YAL007C	ERP2	851226
YGL235W		852615
YGL134W	PCL10	852743
YER001W	MNN1	856718
YDR366C		851972
YHR023W	MYO1	856418
YDR430C	CYM1	852041
YGR002C	SWC4	852885
YNL220W	ADE12	855501
YHR110W	ERP5	856510
YPL078C	ATP4	856027
YBR073W	RDH54	852365
YPL119C	DBP1	855984
YPL212C	PUS1	855889
YGL179C	TOS3	852696
YNL159C	ASI2	855563
YFR048W	RMD8	850609
YDR016C	DAD1	851579
YKL215C	OXP1	853665
YML035C	AMD1	854973
YDL059C	RAD59	851500
YOR257W	CDC31	854431
YNL144C		855578
YIL172C	IMA3	853235
YIL172C	IMA3	854635
YOR301W	RAX1	854477
YHR157W	REC104	856562
YPR152C	URN1	856275
YPL008W	CHL1	856099
YGL032C	AGA2	852851
YEL077C		856630
YGR174W-A		1466461
YOR148C	SPP2	854319
YHL048W	COS8	856337
YDR114C		851693
YDR194W-A		1466435
YML062C	MFT1	854940
YPR085C	ASA1	856200
YBL095W	MRX3	852181
YAR028W		851280
YGR054W		852945
YOR096W	RPS7A	854263
YMR022W	UBC7	855036
YCR027C	RHB1	850392
YDL183C		851345
YNL278W	CAF120	855443
YLR395C	COX8	851111
YDR446W	ECM11	852057
YKL023W		853845
YPL106C	SSE1	855998
YIR021W	MRS1	854839
YLL022C	HIF1	850638
YDR441C	APT2	852051
YOR299W	BUD7	854475
YLR047C	FRE8	850736
YEL023C		856690
YDR411C	DFM1	852020
YKL025C	PAN3	853843
YLR225C		850922
YPR029C	APL4	856141
YDR088C	SLU7	851661
YFL004W	VTC2	850544
YDR369C	XRS2	851975
YGL090W	LIF1	852790
YLR297W		851004
YNL027W	CRZ1	855704
YAL064C-A	TDA8	851234
YJL083W	TAX4	853362
YKL171W	NNK1	853683
YOR353C	SOG2	854535
YJR132W	NMD5	853596
YPL060W	MFM1	856045
YNL333W	SNZ2	855383
YCL038C	ATG22	850319
YBL035C	POL12	852245
YJL092W	SRS2	853353
YGL010W	MPO1	852874
YML076C	WAR1	854899
YDR379W	RGA2	851985
YDL029W	ARP2	851532
YDR205W	MSC2	851786
YJL031C	BET4	853421
YLR016C	PML1	850703
YOL116W	MSN1	854033
YGR019W	UGA1	852902
YKL096C-B		1500486
YMR137C	PSO2	855168
YLR034C	SMF3	850721
YOL041C	NOP12	854116
YDL198C	GGC1	851329
YHR118C	ORC6	856518
YJL097W	PHS1	853348
YDL120W	YFH1	851437
YLR292C	SEC72	850999
YPR170W-B		5848745
YKR091W	SRL3	853966
YPR016C	TIF6	856126
YAL012W	CYS3	851221
YJL148W	RPA34	853293
YER039C-A		856762
YDR421W	ARO80	852031
YGL051W	MST27	852830
