ensembl_gene_id	external_gene_name	entrezgene_id
ENSXETG00000012456	XB5829846 [provisional:mfsd1]	100487982
ENSXETG00000023332	galnt2	100488284
ENSXETG00000024002	b4galt5	549139
ENSXETG00000012950	cbln1	779761
ENSXETG00000015756	thap5	100487932
ENSXETG00000021725	arhgap4	100170556
ENSXETG00000021725	arhgap4	493223
ENSXETG00000026530	man2a1	100036612
ENSXETG00000038056	art1	549321
ENSXETG00000015752	dnajb9	100038131
ENSXETG00000008073	lrp8	100489827
ENSXETG00000019578	vav2	733982
ENSXETG00000027596	aimp2	448040
ENSXETG00000013833	rasa3	100144662
ENSXETG00000038940		100498497
ENSXETG00000032850	lrrn3	779981
ENSXETG00000007012	grhl1	100038093
ENSXETG00000040104	e2f3	100493745
ENSXETG00000021460	srek1	100329115
ENSXETG00000039936	gphb5	100494400
ENSXETG00000003585	rhoj	100125013
ENSXETG00000024055	eif2ak1	733794
ENSXETG00000025610	asb12.2	100489239
ENSXETG00000023538	ubac2	100337649
ENSXETG00000016464	pkdcc.1	100216132
ENSXETG00000019391	rfc4	549117
ENSXETG00000026979	sar1a	387599
ENSXETG00000039795	actn4	100498440
ENSXETG00000014422	pole4	549359
ENSXETG00000039156	dnajc28	496943
ENSXETG00000030958	pias3	100151738
ENSXETG00000032224	gpr18	105946540
ENSXETG00000010147	gnrh1	100135026
ENSXETG00000006076	efemp1	100495975
ENSXETG00000006146	tysnd1	100379910
ENSXETG00000024051	ocm4.3	496555
ENSXETG00000024051	ocm4.3	548651
ENSXETG00000006333	tef	550073
ENSXETG00000023896	chrna5	100379824
ENSXETG00000006147	spock2	100144943
ENSXETG00000006078	ccdc85a	100496271
ENSXETG00000034720		100488248
ENSXETG00000019217	pdlim5	548530
ENSXETG00000012208	mgc89226	448364
ENSXETG00000005759	znf462	100492944
ENSXETG00000017289	clcn2	100488889
ENSXETG00000023808	arhgef11	100489979
ENSXETG00000033676	c1orf159	100494201
ENSXETG00000004914	slc49a3	394873
ENSXETG00000031941		100496857
ENSXETG00000009511	wdr61	394466
ENSXETG00000003340	f2rl2	734095
ENSXETG00000034506	manf	100494026
ENSXETG00000021518	kcnn2	100145581
ENSXETG00000005312	kcnh6	100485121
ENSXETG00000002935	mogat1	734060
ENSXETG00000024582	ggact	100379707
ENSXETG00000031680	cacna2d2	100145442
ENSXETG00000006803	cdca4	549403
ENSXETG00000012560	c2cd3	780184
ENSXETG00000010932	skiv2l	100038207
ENSXETG00000017697	birc6	100135722
ENSXETG00000033354	gpr132	100145370
ENSXETG00000001617	lpin2	779972
ENSXETG00000005751	rad23b	594966
ENSXETG00000006631	ncald	100170190
ENSXETG00000032120		101735201
ENSXETG00000032892	awat1	100127622
ENSXETG00000036552	hist1h4c	100495739
ENSXETG00000036552	hist1h4c	101734426
ENSXETG00000036552	hist1h4c	100485962
ENSXETG00000036552	hist1h4c	549623
ENSXETG00000003447	atp13a3	100497750
ENSXETG00000002680	dennd5b	100216203
ENSXETG00000016774	azi2	100487986
ENSXETG00000018474	gars1	493218
ENSXETG00000025651	eif4ebp2	394958
ENSXETG00000018984	tph1	100497239
ENSXETG00000007529	rap1gds1	100486041
ENSXETG00000037440	rbbp9	100491567
ENSXETG00000030792	taar1	100490137
ENSXETG00000037229		100495988
ENSXETG00000037229		100496440
ENSXETG00000037229		100496919
ENSXETG00000037229		100497241
ENSXETG00000037229		101731908
ENSXETG00000037229		101732908
ENSXETG00000037229		101733656
ENSXETG00000037229		108644455
ENSXETG00000009883	osgepl1	779499
ENSXETG00000009883	osgepl1	100124987
ENSXETG00000023748	nodal	100497218
ENSXETG00000003753	orai2	100380109
ENSXETG00000033099	jag2	100497180
ENSXETG00000006632	grhl2	496802
