tax_id	Org_name	GeneID	Symbol	description	Gene stable ID	chromosome	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count
10090	Mus musculus	22059	Trp53	transformation related protein 53	ENSMUSG00000059552	11	69471174.0	69482699.0	plus	12.0
10090	Mus musculus	11816	Apoe	apolipoprotein E	ENSMUSG00000002985	7	19430169.0	19434326.0	minus	7.0
10090	Mus musculus	21898	Tlr4	toll-like receptor 4	ENSMUSG00000039005	4	66745788.0	66765338.0	plus	3.0
10090	Mus musculus	21926	Tnf	tumor necrosis factor	ENSMUSG00000024401	17	35418343.0	35420983.0	minus	4.0
10090	Mus musculus	15978	Ifng	interferon gamma	ENSMUSG00000055170	10	118276951.0	118281799.0	plus	4.0
10090	Mus musculus	16847	Lepr	leptin receptor	ENSMUSG00000057722	4	101574393.0	101676375.0	plus	21.0
10090	Mus musculus	16846	Lep	leptin	ENSMUSG00000059201	6	29060220.0	29073875.0	plus	3.0
10090	Mus musculus	16153	Il10	interleukin 10	ENSMUSG00000016529	1	130947459.0	130952707.0	plus	5.0
10090	Mus musculus	16193	Il6	interleukin 6	ENSMUSG00000025746	5	30218112.0	30224973.0	plus	5.0
10090	Mus musculus	21803	Tgfb1	transforming growth factor, beta 1	ENSMUSG00000002603	7	25386406.0	25404503.0	plus	7.0
10090	Mus musculus	12387	Ctnnb1	catenin (cadherin associated protein), beta 1	ENSMUSG00000006932	9	120762466.0	120789573.0	plus	15.0
10090	Mus musculus	17874	Myd88	myeloid differentiation primary response gene 88	ENSMUSG00000032508	9	119165000.0	119169084.0	minus	6.0
10090	Mus musculus	13405	Dmd	dystrophin, muscular dystrophy	ENSMUSG00000045103	X	81858244.0	84248656.0	plus	85.0
10090	Mus musculus	24088	Tlr2	toll-like receptor 2	ENSMUSG00000027995	3	83743579.0	83749045.0	minus	3.0
10090	Mus musculus	14102	Fas	Fas (TNF receptor superfamily member 6)	ENSMUSG00000024778	19	34267926.0	34305175.0	plus	13.0
10090	Mus musculus	20848	Stat3	signal transducer and activator of transcription 3	ENSMUSG00000004040	11	100777632.0	100830447.0	minus	24.0
10090	Mus musculus	19211	Pten	phosphatase and tensin homolog	ENSMUSG00000013663	19	32734977.0	32803560.0	plus	10.0
10090	Mus musculus	20423	Shh	sonic hedgehog	ENSMUSG00000002633	5	28661838.0	28672099.0	minus	5.0
10090	Mus musculus	11789	Apc	APC, WNT signaling pathway regulator	ENSMUSG00000005871	18	34353350.0	34455243.0	plus	19.0
10090	Mus musculus	18126	Nos2	nitric oxide synthase 2, inducible	ENSMUSG00000020826	11	78811613.0	78851052.0	plus	29.0
10090	Mus musculus	11651	Akt1	thymoma viral proto-oncogene 1	ENSMUSG00000001729	12	112620255.0	112641318.0	minus	16.0
10090	Mus musculus	18024	Nfe2l2	nuclear factor, erythroid derived 2, like 2	ENSMUSG00000015839	2	75505857.0	75535007.0	minus	6.0
10090	Mus musculus	19373	Rag1	recombination activating 1	ENSMUSG00000061311	2	101468597.0	101479877.0	minus	2.0
10090	Mus musculus	16835	Ldlr	low density lipoprotein receptor	ENSMUSG00000032193	9	21634872.0	21661215.0	plus	18.0
10090	Mus musculus	16590	Kit	KIT proto-oncogene receptor tyrosine kinase	ENSMUSG00000005672	5	75735647.0	75817382.0	plus	21.0
10090	Mus musculus	19016	Pparg	peroxisome proliferator activated receptor gamma	ENSMUSG00000000440	6	115337840.0	115467365.0	plus	15.0
10090	Mus musculus	17105	Lyz2	lysozyme 2	ENSMUSG00000069516	10	117113446.0	117118177.0	minus	4.0
10090	Mus musculus	16653	Kras	Kirsten rat sarcoma viral oncogene homolog	ENSMUSG00000030265	6	145162425.0	145196144.0	minus	7.0
10090	Mus musculus	20371	Foxp3	forkhead box P3	ENSMUSG00000039521	X	7445915.0	7461482.0	plus	15.0
