tax_id	Org_name	GeneID	Symbol	description	Gene stable ID	chromosome	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count
9606	Homo sapiens	1	A1BG	alpha-1-B glycoprotein	ENSG00000121410	19	58345183.0	58353492.0	minus	8.0
9606	Homo sapiens	29974	A1CF	APOBEC1 complementation factor	ENSG00000148584	10	50799409.0	50885666.0	minus	15.0
9606	Homo sapiens	2	A2M	alpha-2-macroglobulin	ENSG00000175899	12	9067708.0	9116229.0	minus	37.0
9606	Homo sapiens	144568	A2ML1	alpha-2-macroglobulin like 1	ENSG00000166535	12	8822554.0	8887202.0	plus	40.0
9606	Homo sapiens	127550	A3GALT2	alpha 1,3-galactosyltransferase 2	ENSG00000184389	1	33306766.0	33321098.0	minus	5.0
9606	Homo sapiens	53947	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	ENSG00000128274	22	42692115.0	42721301.0	minus	10.0
9606	Homo sapiens	51146	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	ENSG00000118017	3	138123713.0	138133310.0	minus	4.0
9606	Homo sapiens	8086	AAAS	aladin WD repeat nucleoporin	ENSG00000094914	12	53307456.0	53321610.0	minus	16.0
9606	Homo sapiens	65985	AACS	acetoacetyl-CoA synthetase	ENSG00000081760	12	125065435.0	125143327.0	plus	19.0
9606	Homo sapiens	13	AADAC	arylacetamide deacetylase	ENSG00000114771	3	151814008.0	151828488.0	plus	5.0
9606	Homo sapiens	344752	AADACL2	arylacetamide deacetylase like 2	ENSG00000261846	3	151733927.0	151761339.0	plus	6.0
9606	Homo sapiens	344752	AADACL2	arylacetamide deacetylase like 2	ENSG00000197953	3	151733927.0	151761339.0	plus	6.0
9606	Homo sapiens	126767	AADACL3	arylacetamide deacetylase like 3	ENSG00000188984	1	12716110.0	12728760.0	plus	4.0
9606	Homo sapiens	343066	AADACL4	arylacetamide deacetylase like 4	ENSG00000204518	1	12644085.0	12667076.0	plus	6.0
9606	Homo sapiens	51166	AADAT	aminoadipate aminotransferase	ENSG00000109576	4	170060222.0	170091699.0	minus	17.0
9606	Homo sapiens	79719	AAGAB	alpha and gamma adaptin binding protein	ENSG00000103591	15	67200667.0	67255198.0	minus	13.0
9606	Homo sapiens	22848	AAK1	AP2 associated kinase 1	ENSG00000115977	2	69457997.0	69643739.0	minus	22.0
9606	Homo sapiens	28971	AAMDC	adipogenesis associated Mth938 domain containing	ENSG00000087884	11	77821144.0	77906024.0	plus	12.0
9606	Homo sapiens	14	AAMP	angio associated migratory cell protein	ENSG00000127837	2	218264127.0	218270181.0	minus	10.0
9606	Homo sapiens	15	AANAT	aralkylamine N-acetyltransferase	ENSG00000129673	17	76453351.0	76470797.0	plus	8.0
9606	Homo sapiens	25980	AAR2	AAR2 splicing factor	ENSG00000131043	20	36236136.0	36256934.0	plus	5.0
9606	Homo sapiens	441376	AARD	alanine and arginine rich domain containing protein	ENSG00000205002	8	116938207.0	116944487.0	plus	2.0
9606	Homo sapiens	16	AARS1	alanyl-tRNA synthetase 1	ENSG00000090861	16	70252295.0	70289509.0	minus	21.0
9606	Homo sapiens	57505	AARS2	alanyl-tRNA synthetase 2, mitochondrial	ENSG00000124608	6	44297850.0	44313358.0	minus	23.0
9606	Homo sapiens	80755	AARSD1	alanyl-tRNA synthetase domain containing 1	ENSG00000266967	17	42950526.0	42964454.0	minus	12.0
9606	Homo sapiens	132949	AASDH	aminoadipate-semialdehyde dehydrogenase	ENSG00000157426	4	56337687.0	56389418.0	minus	17.0
9606	Homo sapiens	60496	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	ENSG00000149313	11	106077605.0	106098695.0	plus	7.0
9606	Homo sapiens	10157	AASS	aminoadipate-semialdehyde synthase	ENSG00000008311	7	122073544.0	122144269.0	minus	25.0
9606	Homo sapiens	26574	AATF	apoptosis antagonizing transcription factor	ENSG00000276072	17	36948954.0	37056871.0	plus	12.0
9606	Homo sapiens	26574	AATF	apoptosis antagonizing transcription factor	ENSG00000275700	17	36948954.0	37056871.0	plus	12.0
9606	Homo sapiens	9625	AATK	apoptosis associated tyrosine kinase	ENSG00000181409	17	81117295.0	81166221.0	minus	15.0
9606	Homo sapiens	18	ABAT	4-aminobutyrate aminotransferase	ENSG00000183044	16	8674617.0	8784570.0	plus	22.0
9606	Homo sapiens	19	ABCA1	ATP binding cassette subfamily A member 1	ENSG00000165029	9	104781006.0	104928232.0	minus	58.0
9606	Homo sapiens	10349	ABCA10	ATP binding cassette subfamily A member 10	ENSG00000154263	17	69148007.0	69244848.0	minus	40.0
9606	Homo sapiens	26154	ABCA12	ATP binding cassette subfamily A member 12	ENSG00000144452	2	214931542.0	215138626.0	minus	55.0
9606	Homo sapiens	154664	ABCA13	ATP binding cassette subfamily A member 13	ENSG00000179869	7	48171424.0	48647497.0	plus	75.0
9606	Homo sapiens	20	ABCA2	ATP binding cassette subfamily A member 2	ENSG00000107331	9	137007234.0	137028922.0	minus	49.0
9606	Homo sapiens	21	ABCA3	ATP binding cassette subfamily A member 3	ENSG00000167972	16	2275881.0	2340728.0	minus	33.0
9606	Homo sapiens	24	ABCA4	ATP binding cassette subfamily A member 4	ENSG00000198691	1	93992834.0	94121148.0	minus	50.0
9606	Homo sapiens	23461	ABCA5	ATP binding cassette subfamily A member 5	ENSG00000154265	17	69244311.0	69327133.0	minus	39.0
9606	Homo sapiens	23460	ABCA6	ATP binding cassette subfamily A member 6	ENSG00000154262	17	69062044.0	69141927.0	minus	43.0
9606	Homo sapiens	10347	ABCA7	ATP binding cassette subfamily A member 7	ENSG00000064687	19	1040107.0	1065572.0	plus	47.0
9606	Homo sapiens	10351	ABCA8	ATP binding cassette subfamily A member 8	ENSG00000141338	17	68867285.0	68955415.0	minus	40.0
